INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
University of Central Arkansas,Conway,AR,1,0.8997,1070,4425,0.492,0.3937,11864,0.4203,0.101,34400,0.6977
University of the Ozarks,Clarksville,AR,2,0.6136,1057,11980,0.4826,0.3906,12349.5,0.4831,0.155,34000,0.6943
Williams Baptist College,Walnut Ridge,AR,2,0.6798,1001,7323,0.6307,0.5265,10000,0.3985,0.128,29400,0.5878
American University,Washington,DC,2,0.4312,1258,30523,0.4603,0.1565,19500,0.7989,0.033,51500,0.8821
Catholic University of America,Washington,DC,2,0.6007,1118,22145,0.5693,0.1232,22000,0.6852,0.026,49100,0.8261
Gallaudet University,Washington,DC,2,0.6558,841,11093,0.4199,0.4763,12000,0.4828,0.073,27500,0.6887
George Washington University,Washington,DC,2,0.3308,1297,27560,0.4048,0.1356,22723,0.8083,0.014,62700,0.9226
Georgetown University,Washington,DC,2,0.1697,1398,35085,0.2823,0.1325,17125,0.9245,0.009,95600,0.9598
Howard University,Washington,DC,2,0.493,1081,17514,0.6253,0.4494,24250,0.6065,0.116,44700,0.8154
Delaware State University,Dover,DE,1,0.4168,890,6458,0.7236,0.5034,15000,0.3717,0.141,30200,0.6523
University of Delaware,Newark,DE,1,0.6468,1178,17724,0.4917,0.1192,21000,0.8001,0.037,49600,0.9191
Wesley College,Dover,DE,2,0.625,841,21945,0.8011,0.4955,14250,0.2178,0.164,38600,0.5249
Adventist University of Health Sciences,Orlando,FL,2,0.1336,884,12441,0.5668,0.3595,15236,0.3953,0.054,52200,0.7143
Barry University,Miami,FL,2,0.4678,930,16547,0.7424,0.5181,21500,0.3729,0.057,46500,0.5997
Bethune-Cookman University,Daytona Beach,FL,2,0.666,812,9477,0.9369,0.7762,18750,0.5505,0.168,26800,0.6298
Clearwater Christian College,Clearwater,FL,2,0.7009,1026,11037,0.5911,0.5142,13000,0.5366,0.072,35100,0.5826
Eckerd College,Saint Petersburg,FL,2,0.7104,1138,19956,0.706,0.2341,23000,0.6617,0.094,39100,0.8321
Edward Waters College,Jacksonville,FL,2,0.2732,802,9451,0.8214,0.841,11351,0.2,0.258,24900,0.509
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,2,0.7405,1105,31382,0.5962,0.3103,16500,0.569,0.046,54700,0.778
Flagler College-St Augustine,Saint Augustine,FL,2,0.4987,1096,13574,0.6073,0.2922,16500,0.6309,0.06,33300,0.6687
Florida Agricultural and Mechanical University,Tallahassee,FL,1,0.45,947,5104,0.7476,0.6445,20750,0.4094,0.147,38500,0.8152
Florida Atlantic University,Boca Raton,FL,1,0.4773,1039,5301,0.3996,0.3999,12500,0.4105,0.076,39200,0.765
Florida College,Temple Terrace,FL,2,0.5875,1060,14628,0.6441,0.3729,10750,0.4978,0.072,32500,0.672
Florida Gulf Coast University,Fort Myers,FL,1,0.6579,1024,4700,0.4679,0.3467,11625,0.4416,0.063,37400,0.7663
Florida Institute of Technology,Melbourne,FL,2,0.6045,1153,21950,0.459,0.2414,8509,0.5437,0.15,49500,0.7974
Florida International University,Miami,FL,1,0.4304,1154,5931,0.456,0.5809,13750,0.5161,0.089,41700,0.8354
Florida Southern College,Lakeland,FL,2,0.4989,1102,15831,0.655,0.3293,18375,0.5816,0.109,36200,0.778
Florida State University,Tallahassee,FL,1,0.5681,1212,5723,0.465,0.3065,18750,0.7688,0.058,41900,0.9171
Jacksonville University,Jacksonville,FL,2,0.4737,1010,12056,0.5116,0.2938,15000,0.3821,0.077,45900,0.7172
Johnson University Florida,Kissimmee,FL,2,0.4172,970,9703,0.7861,0.5267,11000,0.3226,0.0755,29000,0.7468
Lynn University,Boca Raton,FL,2,0.776,940,21746,0.3005,0.2004,13000,0.4128,0.068,38000,0.6925
Northwood University-Florida,West Palm Beach,FL,2,0.5102,932,13200,0.5529,0.3379,18750,0.3525,0.096,42600,0.7143
Nova Southeastern University,Fort Lauderdale,FL,2,0.5746,1084,16935,0.6118,0.4424,19482,0.4049,0.035,49200,0.7112
Palm Beach Atlantic University,West Palm Beach,FL,2,0.8412,1061,15678,0.5529,0.3475,16297,0.4667,0.06,40400,0.7335
Rollins College,Winter Park,FL,2,0.5889,1199,19343,0.5177,0.3163,23000,0.6705,0.06,42200,0.834
Southeastern University,Lakeland,FL,2,0.5932,955,12284,0.6401,0.4179,14250,0.3835,0.056,29900,0.6868
St Thomas University,Miami Gardens,FL,2,0.4567,904,15717,0.5998,0.511,16500,0.3829,0.072,54000,0.6184
Stetson University,DeLand,FL,2,0.5925,1168,18420,0.6566,0.3653,18050,0.6409,0.051,37800,0.7806
The Baptist College of Florida,Graceville,FL,2,0.4257,1062,8251,0.6105,0.6292,14425,0.3684,0.056,27400,0.8333
The University of Tampa,Tampa,FL,2,0.5221,1075,16142,0.6435,0.2473,17550.5,0.6159,0.067,42300,0.751
The University of West Florida,Pensacola,FL,1,0.4808,1062,5712,0.4931,0.4102,12500,0.4232,0.097,34600,0.7003
Trinity Baptist College,Jacksonville,FL,2,0.4847,863,7156,0.6554,0.6292,5500,0.3889,0.072,26200,0.4717
University of Central Florida,Orlando,FL,1,0.4894,1175,5069,0.4547,0.3771,15000,0.6724,0.054,40700,0.8711
University of Florida,Gainesville,FL,1,0.4655,1272,7411,0.3506,0.3207,14546,0.8654,0.036,50700,0.9646
University of Miami,Coral Gables,FL,2,0.4044,1332,28909,0.3559,0.1855,18750,0.8169,0.028,56300,0.9134
University of North Florida,Jacksonville,FL,1,0.5343,1143,4980,0.4242,0.348,14000,0.4995,0.075,39300,0.8167
University of South Florida-Main Campus,Tampa,FL,1,0.4524,1168,5963,0.4783,0.4127,16954,0.6321,0.074,38600,0.8878
University of South Florida-St Petersburg,St. Petersburg,FL,1,0.4401,1070,5328,0.4556,0.3928,16954,0.4273,0.074,38600,0.5991
Warner University,Lake Wales,FL,2,0.3378,908,4616,0.7798,0.6488,15306,0.4275,0.119,40800,0.4923
Webber International University,Babson Park,FL,2,0.6377,922,12442,0.6244,0.4504,9500,0.3333,0.167,29100,0.5248
Abraham Baldwin Agricultural College,Tifton,GA,1,0.709,897,2104,0.4247,0.4609,8198.5,0.1581,0.144,31100,0.604
Albany State University,Albany,GA,1,0.1992,887,4431,0.9045,0.7229,24500,0.4249,0.18,29600,0.697
Armstrong Atlantic State University,Savannah,GA,1,0.6998,997,4637,0.5742,0.434,12750,0.343,0.083,37700,0.6736
Berry College,Mount Berry,GA,2,0.6032,1186,12900,0.5566,0.2626,15750,0.6015,0.04,34300,0.7945
Brenau University,Gainesville,GA,2,0.7829,957,12867,0.7464,0.5206,18638,0.4554,0.05,40200,0.6686
Brewton-Parker College,Mount Vernon,GA,2,0.5137,896,5603,0.6191,0.4574,10250,0.1867,0.127,31200,0.597
Clark Atlanta University,Atlanta,GA,2,0.568,880,16788,0.8796,0.7078,20000,0.3893,0.124,31000,0.6506
Clayton State University,Morrow,GA,1,0.477,939,4628,0.6983,0.5781,18997,0.2671,0.093,36200,0.7273
College of Coastal Georgia,Brunswick,GA,1,0.8221,940,2420,0.4854,0.5133,7711,0.1737,0.201,29000,0.5735
Columbus State University,Columbus,GA,1,0.5543,984,5949,0.607,0.4559,14750,0.3012,0.114,31800,0.6648
Covenant College,Lookout Mountain,GA,2,0.5704,1173,14593,0.5765,0.2958,18500,0.5808,0.033,39200,0.847
Emmanuel College,Franklin Springs,GA,2,0.4783,935,8333,0.6385,0.5106,14335,0.4571,0.173,26100,0.6406
Emory University,Atlanta,GA,2,0.2633,1363,22222,0.3868,0.2192,19000,0.8961,0.024,68600,0.9438
Fort Valley State University,Fort Valley,GA,1,0.3273,830,2973,0.8818,0.7652,19000,0.3017,0.242,25500,0.5858
Georgia College and State University,Milledgeville,GA,1,0.6798,1126,7701,0.4774,0.218,16250,0.6115,0.039,36200,0.8459
Georgia Institute of Technology-Main Campus,Atlanta,GA,1,0.5493,1352,12234,0.3387,0.1932,20750,0.8219,0.025,64600,0.9552
Georgia Southern University,Statesboro,GA,1,0.52,1094,5662,0.6223,0.3753,16250,0.5046,0.089,36700,0.8048
Georgia Southwestern State University,Americus,GA,1,0.6803,950,4347,0.5809,0.4773,14500,0.3582,0.087,32800,0.6497
Georgia State University,Atlanta,GA,1,0.5466,1060,7284,0.5883,0.5089,17070,0.5315,0.085,38400,0.8232
Gordon State College,Barnesville,GA,1,0.4529,840,1896,0.5603,0.5392,8250,0.1374,0.147,29800,1
Kennesaw State University,Kennesaw,GA,1,0.5654,1068,5776,0.5646,0.4179,15000,0.4338,0.086,38700,0.7564
LaGrange College,Lagrange,GA,2,0.5837,995,13383,0.7986,0.452,18686.5,0.375,0.071,37700,0.6111
Mercer University,Macon,GA,2,0.69,1171,15801,0.6878,0.4101,21500,0.5947,0.066,52900,0.8202
Morehouse College,Atlanta,GA,2,0.6684,990,12500,0.76,0.5019,25999.5,0.5383,0.247,38000,0.8007
Oglethorpe University,Atlanta,GA,2,0.5576,1131,11922,0.7455,0.3979,18459,0.6201,0.066,37700,0.7942
Paine College,Augusta,GA,2,0.4377,778,11414,0.8841,0.7706,15150,0.2093,0.251,23200,0.6763
Piedmont College,Demorest,GA,2,0.6118,1001,8071,0.74,0.5093,16703,0.4611,0.054,37000,0.7019
Point University,West Point,GA,2,0.5353,946,8779,0.8442,0.5914,19500,0.4776,0.056,28800,0.4843
Reinhardt University,Waleska,GA,2,0.514,1013,10742,0.5408,0.4796,9500,0.2821,0.083,35500,0.6012
Savannah College of Art and Design,Savannah,GA,2,0.6547,1078,24510,0.5547,0.2601,21521.5,0.683,0.087,31700,0.8071
Savannah State University,Savannah,GA,1,0.8299,847,2937,0.857,0.7396,17126,0.2908,0.206,28600,0.7024
Shorter University,Rome,GA,2,0.6807,954,9161,0.6632,0.4729,25250,0.4638,0.121,45200,0.7076
Southern Polytechnic State University,Marietta,GA,1,0.7798,1123,6239,0.5644,0.4136,14750,0.3657,0.063,46800,0.7241
Spelman College,Atlanta,GA,2,0.3802,1024,13571,0.7646,0.5152,25500,0.6763,0.106,41100,0.8808
Toccoa Falls College,Toccoa Falls,GA,2,0.494,1000,9853,0.7263,0.5963,15250,0.4679,0.063,25900,0.7514
Truett-McConnell College,Cleveland,GA,2,0.8064,939,7499,0.3114,0.227,9960,0.284,0.13,27700,0.6402
University of Georgia,Athens,GA,1,0.5608,1247,10079,0.4148,0.236,16831,0.8314,0.038,45800,0.9417
University of West Georgia,Carrollton,GA,1,0.5385,950,5394,0.6619,0.4763,14250,0.4287,0.104,33100,0.7147
Valdosta State University,Valdosta,GA,1,0.5522,1033,5388,0.6571,0.4592,16000,0.4017,0.102,34200,0.6885
Wesleyan College,Macon,GA,2,0.4339,982,9336,0.4495,0.3685,19000,0.6389,0.079,31300,0.6612
Young Harris College,Young Harris,GA,2,0.5365,980,8213,0.6239,0.3839,10500,0.2928,0.056,31500,0.614
Alice Lloyd College,Pippa Passes,KY,2,0.4502,990,7142,0.6727,0.5839,6700,0.3164,0.116,30300,0.6281
Asbury University,Wilmore,KY,2,0.6573,1110,13545,0.6764,0.3896,20325,0.6431,0.05,30300,0.7981
Bellarmine University,Louisville,KY,2,0.9478,1116,15144,0.5722,0.2264,19500,0.6649,0.053,44600,0.797
Berea College,Berea,KY,2,0.3401,1113,2121,0.2262,0.8293,5496.5,0.6167,0.128,29200,0.8107
Brescia University,Owensboro,KY,2,0.45,1010,11572,0.832,0.5006,12146.5,0.2979,0.128,32600,0.5706
Campbellsville University,Campbellsville,KY,2,0.6844,985,8816,0.4725,0.3799,12000,0.4377,0.168,28800,0.6884
Centre College,Danville,KY,2,0.6857,1268,16551,0.4888,0.1555,21450,0.8196,0.025,36400,0.9003
Eastern Kentucky University,Richmond,KY,1,0.6002,1009,5757,0.5983,0.4278,14921.5,0.3888,0.128,33000,0.7149
Georgetown College,Georgetown,KY,2,0.8219,1085,12252,0.7258,0.3432,21445,0.5656,0.043,36300,0.7553
Kentucky Christian University,Grayson,KY,2,0.5136,976,8501,0.8049,0.4948,9500,0.3865,0.119,28700,0.5327
Kentucky State University,Frankfort,KY,1,0.3774,860,7858,0.679,0.5945,14750,0.1797,0.286,26400,0.5167
Kentucky Wesleyan College,Owensboro,KY,2,0.671,1019,5630,0.9071,0.472,14000,0.3786,0.105,29900,0.6497
Mid-Continent University,Mayfield,KY,2,0.7031,923,13757,0.5626,0.5635,9343.5,0.2538,0.075,41400,0.6214
Midway College,Midway,KY,2,0.5381,1032,11621,0.7476,0.5132,16750,0.5246,0.103,36100,0.8283
Morehead State University,Morehead,KY,1,0.8449,1028,5386,0.511,0.3825,14250,0.4035,0.125,29000,0.6916
Murray State University,Murray,KY,1,0.8217,1029,7185,0.4958,0.3523,14875,0.5291,0.102,33200,0.7302
Northern Kentucky University,Highland Heights,KY,1,0.467,1024,8624,0.5491,0.3368,15000,0.3792,0.099,33900,0.6744
Spalding University,Louisville,KY,2,0.8108,952,14240,0.7012,0.4731,19118,0.4019,0.087,41000,0.731
Thomas More College,Crestview Hills,KY,2,0.8775,1033,12622,0.5357,0.2612,19500,0.5703,0.073,46000,0.5977
Transylvania University,Lexington,KY,2,0.9615,1213,12776,0.5829,0.2709,25000,0.7224,0.041,35500,0.8731
Union College,Barbourville,KY,2,0.7416,1007,10953,0.7964,0.58,12250,0.3418,0.132,29300,0.5613
University of Kentucky,Lexington,KY,1,0.6861,1140,10316,0.4597,0.2481,14000,0.6184,0.072,42200,0.8253
University of Louisville,Louisville,KY,1,0.7112,1142,10747,0.4323,0.2999,13300,0.5343,0.096,38200,0.7788
University of Pikeville,Pikeville,KY,2,1,909,15184,0.7168,0.4762,9500,0.309,0.125,29300,0.5217
University of the Cumberlands,Williamsburg,KY,2,0.7127,1019,8642,0.581,0.4437,9500,0.4345,0.087,30400,0.5163
Western Kentucky University,Bowling Green,KY,1,0.9232,1009,7278,0.5413,0.3934,15000,0.4368,0.137,31100,0.7178
Centenary College of Louisiana,Shreveport,LA,2,0.6597,1131,11348,0.5358,0.3539,17125,0.59,0.11,42100,0.7595
Dillard University,New Orleans,LA,2,0.3544,884,12589,0.8707,0.7682,20000,0.4566,0.114,28100,0.5918
Grambling State University,Grambling,LA,1,0.4363,863,4270,0.8446,0.7346,23750,0.3167,0.162,26600,0.689
Louisiana College,Pineville,LA,2,0.7423,968,8282,0.589,0.454,11750,0.4251,0.109,39300,0.5308
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,1,0.7623,1162,8813,0.3532,0.1978,13000,0.6914,0.043,45800,0.8249
Louisiana State University-Alexandria,Alexandria,LA,1,0.6074,950,4173,0.371,0.4093,9000,0.138,0.122,32000,0.5357
Louisiana State University-Shreveport,Shreveport,LA,1,0.8349,1030,3410,0.3237,0.2997,12500,0.3255,0.105,35300,0.6621
Louisiana Tech University,Ruston,LA,1,0.6744,1089,5871,0.304,0.2218,13632.5,0.4934,0.075,40200,0.7864
Loyola University New Orleans,New Orleans,LA,2,0.8707,1143,17610,0.5825,0.2972,18500,0.5486,0.053,40300,0.8039
McNeese State University,Lake Charles,LA,1,0.6151,1030,4070,0.4129,0.3639,12806,0.3817,0.129,36200,0.6913
Nicholls State University,Thibodaux,LA,1,0.8694,1030,4893,0.4958,0.3935,11555,0.4126,0.086,35100,0.6812
Northwestern State University of Louisiana,Natchitoches,LA,1,0.84,1007,5198,0.4878,0.4023,14000,0.3739,0.126,33000,0.7182
Our Lady of the Lake College,Baton Rouge,LA,2,0.6615,1010,10679,0.6578,0.3701,16743.5,0.3594,0.071,45300,0.5979
Southeastern Louisiana University,Hammond,LA,1,0.448,1030,4439,0.3998,0.3334,11670,0.3582,0.087,34200,0.6328
Southern University and A & M College,Baton Rouge,LA,1,0.359,890,4459,0.7496,0.6277,24250,0.3183,0.099,31000,0.6743
Southern University at New Orleans,New Orleans,LA,1,0.4888,808,8167,0.6803,0.6273,18442,0.1119,0.151,27100,0.5233
Tulane University of Louisiana,New Orleans,LA,2,0.2643,1341,23061,0.3702,0.1617,20001,0.7602,0.055,59400,0.9049
University of Louisiana at Lafayette,Lafayette,LA,1,0.593,1070,5074,0.3735,0.3405,13000,0.4482,0.093,36100,0.7426
University of Louisiana at Monroe,Monroe,LA,1,0.7724,1050,5286,0.4092,0.3727,12708,0.4017,0.107,40100,0.6721
University of New Orleans,New Orleans,LA,1,0.5036,1072,7042,0.3476,0.3202,11750,0.3214,0.09,35400,0.6748
Xavier University of Louisiana,New Orleans,LA,2,0.5443,1048,15391,0.7093,0.5739,18000,0.4804,0.116,57200,0.7178
Bowie State University,Bowie,MD,1,0.5176,886,4608,0.6808,0.4873,16500,0.3524,0.161,43000,0.7023
Capitol College,Laurel,MD,2,0.5903,1042,17039,0.5351,0.356,13250,0.4286,0.084,57900,0.8154
Coppin State University,Baltimore,MD,1,0.355,880,1347,0.6943,0.5964,12250,0.1387,0.225,34500,0.6118
Frostburg State University,Frostburg,MD,1,0.5945,963,4987,0.6128,0.35,16750,0.4655,0.104,38600,0.7675
Hood College,Frederick,MD,2,0.8102,1030,14552,0.7329,0.3424,22375,0.6644,0.049,40400,0.777
Johns Hopkins University,Baltimore,MD,2,0.1813,1418,22665,0.3918,0.1307,17500,0.9254,0.017,69300,0.9704
Loyola University Maryland,Baltimore,MD,2,0.58,1194,24840,0.5407,0.1414,26000,0.8437,0.029,57600,0.8731
Maryland Institute College of Art,Baltimore,MD,2,0.5803,1175,26289,0.6126,0.2429,23000,0.7273,0.044,30800,0.8257
McDaniel College,Westminster,MD,2,0.7587,1105,13869,0.6629,0.3073,22000,0.7175,0.032,43000,0.8421
Morgan State University,Baltimore,MD,1,0.5757,893,5394,0.8105,0.6152,22907,0.3375,0.23,33500,0.7207
Mount St Mary's University,Emmitsburg,MD,2,0.6741,1060,15815,0.6374,0.2269,19500,0.6563,0.046,46100,0.7785
Notre Dame of Maryland University,Baltimore,MD,2,0.4964,1036,16526,0.5355,0.3024,21732.5,0.5283,0.052,46200,0.7188
Salisbury University,Salisbury,MD,1,0.5494,1145,5967,0.5213,0.2209,16250,0.6681,0.065,43200,0.8049
St Mary's College of Maryland,St. Mary's City,MD,1,0.7204,1221,12390,0.4135,0.152,19130,0.7931,0.014,41400,0.8998
Stevenson University,Stevenson,MD,2,0.5959,990,13905,0.6099,0.303,18197.5,0.5613,0.084,46400,0.7477
Towson University,Towson,MD,1,0.6034,1078,6494,0.5047,0.2498,15750,0.655,0.052,45300,0.8603
University of Baltimore,Baltimore,MD,1,0.7295,940,10352,0.5768,0.4264,16000,0.3759,0.08,52100,0.6744
University of Maryland Eastern Shore,Princess Anne,MD,1,0.5502,871,4159,0.6948,0.5506,18071,0.3246,0.171,33500,0.678
University of Maryland-Baltimore County,Baltimore,MD,1,0.6315,1209,8524,0.4251,0.2695,17500,0.6458,0.056,47600,0.8733
University of Maryland-College Park,College Park,MD,1,0.4699,1310,11198,0.3581,0.1907,17500,0.8406,0.028,55000,0.9468
Washington College,Chestertown,MD,2,0.6655,1168,20826,0.6872,0.1488,25000,0.6821,0.035,41800,0.8086
Alcorn State University,Alcorn State,MS,1,0.8291,851,4029,0.8872,0.7918,19696.5,0.3463,0.158,28800,0.6838
Belhaven University,Jackson,MS,2,0.4842,1033,8025,0.7219,0.5109,19500,0.3983,0.056,35600,0.6
Blue Mountain College,Blue Mountain,MS,2,0.5573,1007,5521,0.5697,0.5299,12750,0.5088,0.18,27600,0.7
Delta State University,Cleveland,MS,1,0.8941,950,5429,0.5628,0.4927,12500,0.3543,0.121,33100,0.6614
Jackson State University,Jackson,MS,1,0.6464,910,5600,0.7633,0.6476,23750,0.3852,0.149,27600,0.7552
Millsaps College,Jackson,MS,2,0.4745,1159,11691,0.5362,0.2183,21750,0.6318,0.056,36800,0.7524
Mississippi College,Clinton,MS,2,0.673,1098,11945,0.5983,0.3646,16625,0.5305,0.059,37700,0.6839
Mississippi State University,Mississippi State,MS,1,0.6482,1106,6667,0.5046,0.3415,15500,0.6105,0.083,40200,0.7851
Mississippi University for Women,Columbus,MS,1,0.4349,995,4384,0.6237,0.4934,14000,0.366,0.118,35700,0.7912
Mississippi Valley State University,Itta Bena,MS,1,0.2272,825,3148,0.7721,0.69,20969,0.2598,0.159,23700,0.5296
Rust College,Holly Springs,MS,2,0.1386,666,8204,0.8983,0.8758,9000,0.2019,0.237,21200,0.6273
Tougaloo College,Tougaloo,MS,2,0.3551,864,7470,0.8179,0.8498,23537,0.495,0.184,24700,0.6996
University of Mississippi,University,MS,1,0.5936,1100,8585,0.4625,0.2975,15750,0.5797,0.075,43800,0.8558
University of Southern Mississippi,Hattiesburg,MS,1,0.6631,1082,6081,0.6934,0.4644,16600,0.4513,0.12,35800,0.7162
William Carey University,Hattiesburg,MS,2,0.4877,1105,11251,0.7997,0.6601,18375,0.6196,0.076,36000,0.7746
Appalachian State University,Boone,NC,1,0.6323,1156,5790,0.4596,0.259,15635,0.6857,0.048,33600,0.8718
Barton College,Wilson,NC,2,0.4177,939,14382,0.781,0.4955,21500,0.4839,0.092,34000,0.6866
Belmont Abbey College,Belmont,NC,2,0.6759,977,9837,0.7966,0.4613,18500,0.381,0.14,35600,0.65
Brevard College,Brevard,NC,2,0.4489,950,12230,0.6872,0.4155,11306.5,0.432,0.103,25300,0.5662
Campbell University,Buies Creek,NC,2,0.6983,1030,10521,0.735,0.3689,17000,0.4893,0.067,49500,0.799
Catawba College,Salisbury,NC,2,0.4058,985,17950,0.678,0.4301,16500,0.5263,0.12,34800,0.7
Chowan University,Murfreesboro,NC,2,0.6154,777,11818,0.8486,0.6713,9500,0.244,0.207,29400,0.4825
Davidson College,Davidson,NC,2,0.2561,1353,19936,0.2134,0.1313,15750,0.9246,0.022,47700,0.9571
Duke University,Durham,NC,2,0.1342,1444,23668,0.371,0.1366,6569,0.9423,0.011,95000,0.972
East Carolina University,Greenville,NC,1,0.6217,1050,6563,0.5528,0.3211,18500,0.5631,0.067,37100,0.8088
Elizabeth City State University,Elizabeth City,NC,1,0.5715,849,3357,0.7652,0.7029,18137,0.4159,0.229,25700,0.7247
Elon University,Elon,NC,2,0.5398,1200,24332,0.3375,0.0911,20500,0.8165,0.024,43600,0.8989
Fayetteville State University,Fayetteville,NC,1,0.5496,851,3202,0.7136,0.5873,17003.5,0.3215,0.132,29000,0.7133
Gardner-Webb University,Boiling Springs,NC,2,0.4817,1018,9951,0.4012,0.2372,17840,0.569,0.097,36200,0.7181
Greensboro College,Greensboro,NC,2,0.7831,891,12774,0.7619,0.4037,20000,0.3059,0.108,33300,0.6044
Guilford College,Greensboro,NC,2,0.6818,1067,13264,0.6649,0.4992,18500,0.5676,0.101,34900,0.718
High Point University,High Point,NC,2,0.6418,1087,22114,0.4891,0.1264,18250,0.6176,0.094,35800,0.75
Johnson C Smith University,Charlotte,NC,2,0.3668,826,10822,0.834,0.6938,18750,0.4431,0.274,24400,0.5614
Lenoir-Rhyne University,Hickory,NC,2,0.6806,976,11750,0.6917,0.4514,17714,0.4877,0.115,35600,0.6231
