INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
SUNY Maritime College,Throggs Neck,NY,1,0.6396,1056,6028,0.5434,0.2311,21980,0.5014,0.065,69400,6
School of Visual Arts,New York,NY,3,0.7489,1020,30808,0.4736,0.2451,23500,0.6459,0.071,34100,7
University of Hartford,West Hartford,CT,2,0.6173,1053,15424,0.6656,0.264,19944,0.5871,0.056,39800,4
Montclair State University,Montclair,NJ,1,0.6532,970,8938,0.6066,0.3726,19000,0.6339,0.033,41900,7
Siena College,Loudonville,NY,2,0.6805,1122,16661,0.7079,0.2234,23000,0.7964,0.022,47900,8
Polytechnic Institute of New York University,Brooklyn,NY,2,0.7523,1303,23445,0.5746,0.4471,21500,0.5714,0.025,59400,8
Fisher College,Boston,MA,2,0.6273,825,12333,0.6564,0.5754,9320.5,0.3891,0.153,29800,1
Dickinson College,Carlisle,PA,2,0.4444,1285,26821,0.4329,0.1215,19545,0.8562,0.017,49300,8
Iona College,New Rochelle,NY,2,0.9212,1009,19064,0.5797,0.2424,21000,0.6258,0.043,45000,7
Gannon University,Erie,PA,2,0.8042,1050,14875,0.6779,0.3185,22068,0.6508,0.075,45500,6
Shippensburg University of Pennsylvania,Shippensburg,PA,1,0.8341,980,7165,0.7063,0.3021,18000,0.5483,0.057,39900,3
Drew University,Madison,NJ,2,0.7743,1109,17816,0.6039,0.2928,25000,0.6881,0.023,44100,5
University of Connecticut,Storrs,CT,1,0.5366,1233,11188,0.5013,0.2088,18983,0.8323,0.038,51100,9
University of Vermont,Burlington,VT,1,0.7755,1190,21995,0.4674,0.1948,18878,0.7582,0.038,41400,8
Regis College,Weston,MA,2,0.7243,954,17595,0.7215,0.3577,24500,0.4867,0.113,43800,5
Manhattan College,Riverdale,NY,2,0.6617,1090,19807,0.6361,0.2895,21500,0.7373,0.04,52300,8
Southern Connecticut State University,New Haven,CT,1,0.7542,921,8775,0.6169,0.3462,17404,0.4944,0.056,38800,5
Syracuse University,Syracuse,NY,2,0.4949,1158,21538,0.5699,0.2677,27000,0.8108,0.037,50600,9
University of New Haven,West Haven,CT,2,0.7441,1034,17898,0.7151,0.2583,20500,0.5443,0.038,44700,5
Williams College,Williamstown,MA,2,0.1702,1439,26201,0.2478,0.1903,11248,0.9536,0.018,56100,10
Middlebury College,Middlebury,VT,2,0.1716,1391,42339,0.2514,0.1103,17777.5,0.936,0.016,56300,10
Princeton University,Princeton,NJ,2,0.0741,1495,13049,0.0482,0.1218,7500,0.9694,0.023,89600,10
Wentworth Institute of Technology,Boston,MA,2,0.5761,1109,15666,0.722,0.2822,21700,0.6251,0.045,49300,6
Saint Joseph's College of Maine,Standish,ME,2,0.7778,960,12041,0.5758,0.2435,15683.5,0.5543,0.057,38900,3
Amherst College,Amherst,MA,2,0.1428,1434,22937,0.1321,0.1998,10453,0.9578,0.045,66700,10
Yale University,New Haven,CT,2,0.0705,1497,14701,0.0969,0.1273,12000,0.9779,0.009,93200,10
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,1,0.7309,975,4023,0.695,0.4835,11420.5,0.3388,0.108,31100,4
Bowdoin College,Brunswick,ME,2,0.1495,1423,30863,0.1963,0.1376,18000,0.9326,0.006,55600,10
LIM College,New York,NY,3,0.7502,907,23919,0.677,0.3128,20000,0.4586,0.084,40700,4
Rivier University,Nashua,NH,2,0.8928,932,14282,0.6209,0.2758,21000,0.5907,0.043,41600,5
Northeastern University,Boston,MA,2,0.3231,1394,24465,0.4433,0.1424,25759.5,0.8256,0.042,56800,10
Johnson State College,Johnson,VT,1,0.9688,948,10824,0.735,0.4962,18000,0.3659,0.134,29600,1
SUNY at Albany,Albany,NY,1,0.5545,1102,5818,0.6069,0.3747,16750,0.6638,0.059,44500,7
Thiel College,Greenville,PA,2,0.655,967,13482,0.847,0.458,20500,0.3444,0.138,32800,2
Elmira College,Elmira,NY,2,0.7978,1060,15061,0.7792,0.3478,21500,0.6265,0.071,38900,4
Emmanuel College,Boston,MA,2,0.6049,1090,16682,0.6753,0.2337,24250,0.5808,0.056,41700,6
