INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
University of Mary Hardin-Baylor,Belton,TX,2,0.8468,1069,17201,0.6876,0.4098,16500,0.4719,0.094,38200,4
University of Alabama in Huntsville,Huntsville,AL,1,0.8062,1180,8322,0.4728,0.3281,16500,0.4835,0.077,43400,9
Campbellsville University,Campbellsville,KY,2,0.6844,985,8816,0.4725,0.3799,12000,0.4377,0.168,28800,5
Abilene Christian University,Abilene,TX,2,0.4894,1087,14418,0.5601,0.2347,20698.5,0.5637,0.075,37500,8
Elon University,Elon,NC,2,0.5398,1200,24332,0.3375,0.0911,20500,0.8165,0.024,43600,10
Christian Brothers University,Memphis,TN,2,0.4745,1105,12545,0.6516,0.4228,20600,0.5668,0.072,41600,8
Nova Southeastern University,Fort Lauderdale,FL,2,0.5746,1084,16935,0.6118,0.4424,19482,0.4049,0.035,49200,6
Abraham Baldwin Agricultural College,Tifton,GA,1,0.709,897,2104,0.4247,0.4609,8198.5,0.1581,0.144,31100,3
McMurry University,Abilene,TX,2,0.5924,982,12419,0.6637,0.4571,16865,0.3794,0.141,37000,2
North Carolina Central University,Durham,NC,1,0.5033,859,4987,0.8126,0.635,21670,0.3972,0.168,31000,6
Auburn University at Montgomery,Montgomery,AL,1,0.8371,970,7625,0.6476,0.4006,10750,0.2705,0.131,34500,3
University of Houston-Victoria,Victoria,TX,1,0.5102,903,5219,0.4932,0.4369,12000,0.5478,0.067,38900,1
Roanoke College,Salem,VA,2,0.7281,1086,15220,0.7034,0.2451,24000,0.6425,0.044,39900,9
Bethune-Cookman University,Daytona Beach,FL,2,0.666,812,9477,0.9369,0.7762,18750,0.5505,0.168,26800,3
Southern University and A & M College,Baton Rouge,LA,1,0.359,890,4459,0.7496,0.6277,24250,0.3183,0.099,31000,4
Bluefield College,Bluefield,VA,2,0.5729,900,10152,0.3394,0.2022,14454.5,0.4494,0.065,44100,1
Jacksonville State University,Jacksonville,AL,1,0.8326,1036,6192,0.6811,0.4613,16500,0.3083,0.113,32000,6
University of Charleston,Charleston,WV,2,0.6905,991,11740,0.6589,0.3782,10250,0.4568,0.083,40000,4
Fort Valley State University,Fort Valley,GA,1,0.3273,830,2973,0.8818,0.7652,19000,0.3017,0.242,25500,2
Randolph-Macon College,Ashland,VA,2,0.637,1082,15833,0.7143,0.2525,19557,0.6224,0.088,40600,8
University of Arkansas-Fort Smith,Fort Smith,AR,1,0.5736,1028,2204,0.4018,0.5053,8240,0.2291,0.251,30200,3
Edward Waters College,Jacksonville,FL,2,0.2732,802,9451,0.8214,0.841,11351,0.2,0.258,24900,1
Lenoir-Rhyne University,Hickory,NC,2,0.6806,976,11750,0.6917,0.4514,17714,0.4877,0.115,35600,3
King University,Bristol,TN,2,0.6377,1039,9244,0.6903,0.459,17910,0.5165,0.055,42200,5
Coker College,Hartsville,SC,2,0.5326,956,11021,0.7853,0.5515,20850,0.4322,0.087,30300,2
Eastern Mennonite University,Harrisonburg,VA,2,0.6505,999,14945,0.7224,0.3052,14926,0.6355,0.043,37300,8
Southern Wesleyan University,Central,SC,2,0.937,916,12008,0.6908,0.4863,23375,0.4426,0.097,42000,4
Johnson University,Knoxville,TN,2,0.5464,1022,7453,0.601,0.4878,14250,0.5723,0.074,28600,9
Le Moyne-Owen College,Memphis,TN,2,0.2335,760,9809,0.8312,0.7616,12250,0.1685,0.19,24700,1
Georgetown College,Georgetown,KY,2,0.8219,1085,12252,0.7258,0.3432,21445,0.5656,0.043,36300,7
Emory & Henry College,Emory,VA,2,0.6572,1004,11878,0.7143,0.3967,19000,0.4792,0.068,34400,6
Mercer University,Macon,GA,2,0.69,1171,15801,0.6878,0.4101,21500,0.5947,0.066,52900,9
Georgia College and State University,Milledgeville,GA,1,0.6798,1126,7701,0.4774,0.218,16250,0.6115,0.039,36200,9
Louisiana State University-Alexandria,Alexandria,LA,1,0.6074,950,4173,0.371,0.4093,9000,0.138,0.122,32000,2
Eastern Kentucky University,Richmond,KY,1,0.6002,1009,5757,0.5983,0.4278,14921.5,0.3888,0.128,33000,6
University of the Cumberlands,Williamsburg,KY,2,0.7127,1019,8642,0.581,0.4437,9500,0.4345,0.087,30400,1
Lamar University,Beaumont,TX,1,0.7682,974,6771,0.5438,0.4556,12500,0.346,0.135,37600,2
Northwestern State University of Louisiana,Natchitoches,LA,1,0.84,1007,5198,0.4878,0.4023,14000,0.3739,0.126,33000,6
Coastal Carolina University,Conway,SC,1,0.7404,993,11355,0.6858,0.377,14750,0.4584,0.106,34300,3
Johnson University Florida,Kissimmee,FL,2,0.4172,970,9703,0.7861,0.5267,11000,0.3226,0.0755,29000,7
University of Pikeville,Pikeville,KY,2,1,909,15184,0.7168,0.4762,9500,0.309,0.125,29300,1
Hampden-Sydney College,Hampden-Sydney,VA,2,0.5486,1113,15493,0.5769,0.1991,19500,0.6216,0.05,41700,8
Albany State University,Albany,GA,1,0.1992,887,4431,0.9045,0.7229,24500,0.4249,0.18,29600,5
Regent University,Virginia Beach,VA,2,0.8514,1067,13845,0.7655,0.5112,18500,0.5116,0.055,43300,8
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,1,0.7623,1162,8813,0.3532,0.1978,13000,0.6914,0.043,45800,9
West Virginia State University,Institute,WV,1,0.4478,942,3799,0.5265,0.4612,12916,0.1868,0.142,28900,1
Barry University,Miami,FL,2,0.4678,930,16547,0.7424,0.5181,21500,0.3729,0.057,46500,2
University of Florida,Gainesville,FL,1,0.4655,1272,7411,0.3506,0.3207,14546,0.8654,0.036,50700,11
University of Kentucky,Lexington,KY,1,0.6861,1140,10316,0.4597,0.2481,14000,0.6184,0.072,42200,9
John Brown University,Siloam Springs,AR,2,0.6982,1144,9545,0.5333,0.3184,17900,0.6537,0.048,46600,9
Howard University,Washington,DC,2,0.493,1081,17514,0.6253,0.4494,24250,0.6065,0.116,44700,9
Jefferson College of Health Sciences,Roanoke,VA,2,0.4106,963,16798,0.7529,0.4072,21000,0.3974,0.049,55500,3
University of Louisiana at Monroe,Monroe,LA,1,0.7724,1050,5286,0.4092,0.3727,12708,0.4017,0.107,40100,4
Georgia Southwestern State University,Americus,GA,1,0.6803,950,4347,0.5809,0.4773,14500,0.3582,0.087,32800,4
Bellarmine University,Louisville,KY,2,0.9478,1116,15144,0.5722,0.2264,19500,0.6649,0.053,44600,8
James Madison University,Harrisonburg,VA,1,0.6356,1149,8595,0.3884,0.1343,18500,0.815,0.025,48700,11
Virginia Intermont College,Bristol,VA,2,0.9646,928,12358,0.7681,0.506,14397,0.4588,0.075,30200,1
Ferrum College,Ferrum,VA,2,0.7411,868,13814,0.9026,0.5689,11250,0.3181,0.128,31900,1
Centre College,Danville,KY,2,0.6857,1268,16551,0.4888,0.1555,21450,0.8196,0.025,36400,10
Fayetteville State University,Fayetteville,NC,1,0.5496,851,3202,0.7136,0.5873,17003.5,0.3215,0.132,29000,6
Tuskegee University,Tuskegee,AL,2,0.3511,937,14071,0.7374,0.6453,23687.5,0.4384,0.13,33900,6
Centenary College of Louisiana,Shreveport,LA,2,0.6597,1131,11348,0.5358,0.3539,17125,0.59,0.11,42100,7
Auburn University,Auburn University,AL,1,0.8274,1215,13186,0.361,0.1687,18250,0.6792,0.061,44100,10
Rust College,Holly Springs,MS,2,0.1386,666,8204,0.8983,0.8758,9000,0.2019,0.237,21200,3
Belhaven University,Jackson,MS,2,0.4842,1033,8025,0.7219,0.5109,19500,0.3983,0.056,35600,3
Alabama State University,Montgomery,AL,1,0.5125,830,7813,0.8735,0.8265,15854.5,0.2517,0.191,25200,3
Florida Southern College,Lakeland,FL,2,0.4989,1102,15831,0.655,0.3293,18375,0.5816,0.109,36200,8
Samford University,Birmingham,AL,2,0.7697,1153,17548,0.3653,0.1494,20000,0.692,0.013,46500,10
West Texas A & M University,Canyon,TX,1,0.7403,994,5769,0.512,0.3858,13573,0.403,0.11,37800,4
Milligan College,Milligan College,TN,2,0.683,1096,13827,0.6025,0.3567,19000,0.5206,0.028,37800,10
Wheeling Jesuit University,Wheeling,WV,2,0.6892,1023,13619,0.5765,0.2474,16625,0.5375,0.069,40800,4
University of Houston,Houston,TX,1,0.5841,1136,9305,0.4299,0.3879,14878,0.4754,0.079,47700,9
Brevard College,Brevard,NC,2,0.4489,950,12230,0.6872,0.4155,11306.5,0.432,0.103,25300,2
Hollins University,Roanoke,VA,2,0.693,1099,11425,0.7015,0.3573,23869.5,0.5971,0.055,28700,4
Bacone College,Muskogee,OK,2,0.7182,836,3958,0.9001,0.9451,9500,0.0536,0.241,30000,0
Shepherd University,Shepherdstown,WV,1,0.8102,1007,4759,0.5561,0.329,14000,0.3792,0.114,36700,5
University of Tulsa,Tulsa,OK,2,0.4059,1279,19693,0.3177,0.1557,20500,0.6882,0.072,46200,11
University of Maryland-Baltimore County,Baltimore,MD,1,0.6315,1209,8524,0.4251,0.2695,17500,0.6458,0.056,47600,10
University of Central Florida,Orlando,FL,1,0.4894,1175,5069,0.4547,0.3771,15000,0.6724,0.054,40700,10
Reinhardt University,Waleska,GA,2,0.514,1013,10742,0.5408,0.4796,9500,0.2821,0.083,35500,3
Palm Beach Atlantic University,West Palm Beach,FL,2,0.8412,1061,15678,0.5529,0.3475,16297,0.4667,0.06,40400,6
West Virginia University,Morgantown,WV,1,0.851,1062,11359,0.5348,0.2663,14625,0.5744,0.105,41000,8
Brenau University,Gainesville,GA,2,0.7829,957,12867,0.7464,0.5206,18638,0.4554,0.05,40200,4
West Liberty University,West Liberty,WV,1,0.7122,984,4915,0.6177,0.4003,15000,0.4148,0.181,31100,5
Troy University,Troy,AL,1,0.6821,990,8133,0.6414,0.4758,17750,0.3466,0.132,35900,6
Belmont Abbey College,Belmont,NC,2,0.6759,977,9837,0.7966,0.4613,18500,0.381,0.14,35600,4
Jacksonville University,Jacksonville,FL,2,0.4737,1010,12056,0.5116,0.2938,15000,0.3821,0.077,45900,6
Oklahoma City University,Oklahoma City,OK,2,0.7198,1163,16651,0.4877,0.1991,19749,0.6075,0.078,41800,9
Liberty University,Lynchburg,VA,2,0.2165,1030,9565,0.68,0.5021,12612,0.5017,0.079,33500,5
Saint Augustine's University,Raleigh,NC,2,0.6738,749,7143,0.8594,0.7454,20250,0.2926,0.373,24400,3
Elizabeth City State University,Elizabeth City,NC,1,0.5715,849,3357,0.7652,0.7029,18137,0.4159,0.229,25700,6
University of Dallas,Irving,TX,2,0.9011,1216,15224,0.5066,0.2153,17625,0.6602,0.035,37600,8
University of South Alabama,Mobile,AL,1,0.8604,1064,6914,0.5549,0.3743,15000,0.3342,0.071,37300,5
Northeastern State University,Tahlequah,OK,1,0.7337,970,4087,0.5201,0.4926,12500,0.2969,0.164,33300,5
Sul Ross State University,Alpine,TX,1,0.522,865,5807,0.5858,0.6055,10250,0.2851,0.154,34200,1
Lane College,Jackson,TN,2,0.4916,716,8453,0.9312,0.9246,16018,0.3082,0.129,21900,1
Florida International University,Miami,FL,1,0.4304,1154,5931,0.456,0.5809,13750,0.5161,0.089,41700,9
Spring Hill College,Mobile,AL,2,0.4627,1100,10653,0.6564,0.3328,20500,0.5632,0.081,36000,7
University of Mississippi,University,MS,1,0.5936,1100,8585,0.4625,0.2975,15750,0.5797,0.075,43800,9
Oglethorpe University,Atlanta,GA,2,0.5576,1131,11922,0.7455,0.3979,18459,0.6201,0.066,37700,8
Newberry College,Newberry,SC,2,0.5908,938,10741,0.7514,0.4655,21492,0.4458,0.15,29000,5
The University of Texas at San Antonio,San Antonio,TX,1,0.7327,1050,7114,0.5512,0.4379,16490,0.3,0.11,39600,3
University of the Incarnate Word,San Antonio,TX,2,0.9307,967,14974,0.6301,0.4188,19500,0.4,0.092,43400,5
The University of Tampa,Tampa,FL,2,0.5221,1075,16142,0.6435,0.2473,17550.5,0.6159,0.067,42300,7
George Washington University,Washington,DC,2,0.3308,1297,27560,0.4048,0.1356,22723,0.8083,0.014,62700,11
Central Baptist College,Conway,AR,2,0.5407,974,8457,0.5745,0.4531,10828,0.3874,0.106,34600,4
Tarleton State University,Stephenville,TX,1,0.5682,984,5831,0.5557,0.4114,13118,0.4336,0.091,38600,5
St Mary's University,San Antonio,TX,2,0.5823,1050,19894,0.682,0.5144,20000,0.5504,0.083,40600,6
Rollins College,Winter Park,FL,2,0.5889,1199,19343,0.5177,0.3163,23000,0.6705,0.06,42200,9
Stephen F Austin State University,Nacogdoches,TX,1,0.5687,998,5908,0.601,0.448,16074,0.4317,0.129,37500,4
Rice University,Houston,TX,2,0.1674,1454,18601,0.1798,0.1723,7727,0.9111,0.013,66600,11
Florida State University,Tallahassee,FL,1,0.5681,1212,5723,0.465,0.3065,18750,0.7688,0.058,41900,11
Ouachita Baptist University,Arkadelphia,AR,2,0.7011,1090,10088,0.5033,0.2702,15000,0.6022,0.066,34100,7
Tennessee Temple University,Chattanooga,TN,2,0.7843,878,7629,0.9395,0.7909,10001,0.1897,0.254,29400,4
University of Arkansas at Little Rock,Little Rock,AR,1,0.5274,1077,6265,0.4818,0.4027,14250,0.2438,0.105,33400,5
East Central University,Ada,OK,1,0.9814,969,4410,0.4532,0.4848,12449,0.3384,0.169,34300,3
Murray State University,Murray,KY,1,0.8217,1029,7185,0.4958,0.3523,14875,0.5291,0.102,33200,6
Valdosta State University,Valdosta,GA,1,0.5522,1033,5388,0.6571,0.4592,16000,0.4017,0.102,34200,5
Campbell University,Buies Creek,NC,2,0.6983,1030,10521,0.735,0.3689,17000,0.4893,0.067,49500,8
Austin Peay State University,Clarksville,TN,1,0.8595,1009,5498,0.5866,0.5384,15000,0.3603,0.137,32100,4
Columbia College,Columbia,SC,2,0.6499,1027,12071,0.7994,0.5924,23169.5,0.4244,0.12,30500,3
Tulane University of Louisiana,New Orleans,LA,2,0.2643,1341,23061,0.3702,0.1617,20001,0.7602,0.055,59400,11
Armstrong Atlantic State University,Savannah,GA,1,0.6998,997,4637,0.5742,0.434,12750,0.343,0.083,37700,4
Florida Gulf Coast University,Fort Myers,FL,1,0.6579,1024,4700,0.4679,0.3467,11625,0.4416,0.063,37400,7
Virginia Commonwealth University,Richmond,VA,1,0.6913,1102,9693,0.5255,0.2865,19125,0.5681,0.06,40900,10
Hiwassee College,Madisonville,TN,2,0.5836,863,9932,0.4496,0.416,7000,0.0838,0.379,25100,5
Young Harris College,Young Harris,GA,2,0.5365,980,8213,0.6239,0.3839,10500,0.2928,0.056,31500,3
Virginia Union University,Richmond,VA,2,0.5848,750,10362,0.8698,0.6777,14250,0.3547,0.284,27200,2
Hardin-Simmons University,Abilene,TX,2,0.3759,1035,11836,0.604,0.3379,16137,0.514,0.091,39600,3
Emory University,Atlanta,GA,2,0.2633,1363,22222,0.3868,0.2192,19000,0.8961,0.024,68600,11
Blue Mountain College,Blue Mountain,MS,2,0.5573,1007,5521,0.5697,0.5299,12750,0.5088,0.18,27600,5
Clearwater Christian College,Clearwater,FL,2,0.7009,1026,11037,0.5911,0.5142,13000,0.5366,0.072,35100,2
Texas Tech University,Lubbock,TX,1,0.663,1116,8919,0.4932,0.289,17750,0.5904,0.076,46000,9
Mississippi University for Women,Columbus,MS,1,0.4349,995,4384,0.6237,0.4934,14000,0.366,0.118,35700,8
University of North Florida,Jacksonville,FL,1,0.5343,1143,4980,0.4242,0.348,14000,0.4995,0.075,39300,9
Piedmont College,Demorest,GA,2,0.6118,1001,8071,0.74,0.5093,16703,0.4611,0.054,37000,6
University of Baltimore,Baltimore,MD,1,0.7295,940,10352,0.5768,0.4264,16000,0.3759,0.08,52100,5
Winthrop University,Rock Hill,SC,1,0.7225,1030,8375,0.6564,0.4045,19976,0.5587,0.093,32600,6
Furman University,Greenville,SC,2,0.6397,1237,22453,0.3381,0.146,20500,0.8426,0.027,40300,10
Texas Christian University,Fort Worth,TX,2,0.4739,1206,23965,0.3421,0.1447,19500,0.76,0.043,47600,10
University of Miami,Coral Gables,FL,2,0.4044,1332,28909,0.3559,0.1855,18750,0.8169,0.028,56300,11
Texas Lutheran University,Seguin,TX,2,0.5087,1041,12423,0.7011,0.3991,17750,0.5151,0.097,39300,6
University of South Carolina-Columbia,Columbia,SC,1,0.606,1200,10441,0.4922,0.2394,19125,0.7268,0.047,43100,10
LeTourneau University,Longview,TX,2,0.4066,1175,14855,0.7886,0.4086,23250,0.528,0.069,49200,8
South Carolina State University,Orangeburg,SC,1,0.5079,851,9292,0.8187,0.7041,21750,0.3568,0.226,26200,3
Marymount University,Arlington,VA,2,0.8252,1030,18584,0.5773,0.2393,20500,0.5758,0.031,49100,6
University of Louisiana at Lafayette,Lafayette,LA,1,0.593,1070,5074,0.3735,0.3405,13000,0.4482,0.093,36100,7
Erskine College,Due West,SC,2,0.6973,1010,10220,0.6173,0.3565,19444.5,0.5644,0.068,32800,9
Trinity University,San Antonio,TX,2,0.6393,1270,16474,0.3828,0.1549,18500,0.8162,0.027,50100,11
Asbury University,Wilmore,KY,2,0.6573,1110,13545,0.6764,0.3896,20325,0.6431,0.05,30300,8
Johnson C Smith University,Charlotte,NC,2,0.3668,826,10822,0.834,0.6938,18750,0.4431,0.274,24400,2
Texas Southern University,Houston,TX,1,0.4503,832,6770,0.7412,0.6721,17311.5,0.1633,0.174,30300,2
Florida Agricultural and Mechanical University,Tallahassee,FL,1,0.45,947,5104,0.7476,0.6445,20750,0.4094,0.147,38500,9
Stetson University,DeLand,FL,2,0.5925,1168,18420,0.6566,0.3653,18050,0.6409,0.051,37800,8
Texas A & M University-Corpus Christi,Corpus Christi,TX,1,0.9258,960,6678,0.5459,0.4177,13500,0.4021,0.121,38300,2
Presbyterian College,Clinton,SC,2,0.66,1121,15548,0.5209,0.2254,18797,0.6759,0.062,36800,8
Henderson State University,Arkadelphia,AR,1,0.6221,1011,2994,0.5985,0.5296,10443,0.2854,0.154,32400,2
Converse College,Spartanburg,SC,2,0.5201,1072,8005,0.7771,0.4545,18333,0.6194,0.06,29000,6
Davidson College,Davidson,NC,2,0.2561,1353,19936,0.2134,0.1313,15750,0.9246,0.022,47700,11
Claflin University,Orangeburg,SC,2,0.526,873,9889,0.8994,0.8041,22055,0.437,0.144,25800,6
Southeastern Bible College,Birmingham,AL,2,0.9615,970,10496,0.7877,0.6089,19414.5,0.1935,0.108,29400,3
Huntingdon College,Montgomery,AL,2,0.6279,999,9074,0.7227,0.4302,16850,0.4319,0.105,36400,3
West Virginia University Institute of Technology,Montgomery,WV,1,0.5131,990,7357,0.5113,0.3902,14625,0.2024,0.105,41000,2
Livingstone College,Salisbury,NC,2,0.7122,723,11219,0.9334,0.8344,16750,0.2036,0.255,22100,2
Tusculum College,Greeneville,TN,2,0.7225,961,9276,0.753,0.5874,20070,0.3391,0.114,36900,1
Bethany College,Bethany,WV,2,0.4948,936,11782,0.8571,0.4569,18250,0.4781,0.179,34600,2
Lander University,Greenwood,SC,1,0.4216,945,5591,0.6743,0.4914,15250,0.515,0.1,31500,3
Stillman College,Tuscaloosa,AL,2,0.43,882,10367,0.8145,0.7429,19000,0.2619,0.22,23800,3
Grambling State University,Grambling,LA,1,0.4363,863,4270,0.8446,0.7346,23750,0.3167,0.162,26600,5
Trinity Baptist College,Jacksonville,FL,2,0.4847,863,7156,0.6554,0.6292,5500,0.3889,0.072,26200,1
Clayton State University,Morrow,GA,1,0.477,939,4628,0.6983,0.5781,18997,0.2671,0.093,36200,6
Truett-McConnell College,Cleveland,GA,2,0.8064,939,7499,0.3114,0.227,9960,0.284,0.13,27700,3
College of William and Mary,Williamsburg,VA,1,0.3321,1358,16797,0.2944,0.1175,19500,0.8993,0.009,51700,11
Tougaloo College,Tougaloo,MS,2,0.3551,864,7470,0.8179,0.8498,23537,0.495,0.184,24700,5
University of Central Oklahoma,Edmond,OK,1,0.8398,1030,5618,0.4162,0.3496,12500,0.3562,0.105,36800,4
Texas A & M International University,Laredo,TX,1,0.4785,892,3700,0.3872,0.5733,11250,0.4298,0.111,40500,6
Sewanee-The University of the South,Sewanee,TN,2,0.6027,1248,21020,0.167,0.1756,16000,0.7805,0.048,35700,11
University of North Carolina at Chapel Hill,Chapel Hill,NC,1,0.2759,1313,11914,0.3192,0.2053,15000,0.9002,0.023,54900,11
The University of West Florida,Pensacola,FL,1,0.4808,1062,5712,0.4931,0.4102,12500,0.4232,0.097,34600,5
Wesleyan College,Macon,GA,2,0.4339,982,9336,0.4495,0.3685,19000,0.6389,0.079,31300,4
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,2,0.7405,1105,31382,0.5962,0.3103,16500,0.569,0.046,54700,8
University of Houston-Downtown,Houston,TX,1,0.9509,894,6072,0.4419,0.4744,13000,0.1408,0.121,39400,3
University of the Ozarks,Clarksville,AR,2,0.6136,1057,11980,0.4826,0.3906,12349.5,0.4831,0.155,34000,5
The University of Tennessee-Martin,Martin,TN,1,0.7668,1050,4784,0.5605,0.4709,15134.5,0.4645,0.131,33000,5
Florida Institute of Technology,Melbourne,FL,2,0.6045,1153,21950,0.459,0.2414,8509,0.5437,0.15,49500,8
Virginia Polytechnic Institute and State University,Blacksburg,VA,1,0.7028,1220,11414,0.4304,0.1735,21500,0.8243,0.026,51900,11
Warren Wilson College,Swannanoa,NC,2,0.696,1136,14540,0.588,0.331,14000,0.5064,0.063,23300,5
Vanderbilt University,Nashville,TN,2,0.1274,1475,22796,0.1349,0.1429,13000,0.9252,0.013,65500,11
Marshall University,Huntington,WV,1,0.7868,1022,5686,0.6019,0.4364,14726.5,0.4438,0.156,33300,5
St Mary's College of Maryland,St. Mary's City,MD,1,0.7204,1221,12390,0.4135,0.152,19130,0.7931,0.014,41400,10
Duke University,Durham,NC,2,0.1342,1444,23668,0.371,0.1366,6569,0.9423,0.011,95000,11
The University of Tennessee-Chattanooga,Chattanooga,TN,1,0.7757,1069,4864,0.6922,0.3527,11420.5,0.3714,0.089,34100,5
University of Louisville,Louisville,KY,1,0.7112,1142,10747,0.4323,0.2999,13300,0.5343,0.096,38200,8
Lynn University,Boca Raton,FL,2,0.776,940,21746,0.3005,0.2004,13000,0.4128,0.068,38000,5
University of St Thomas,Houston,TX,2,0.7724,1121,16575,0.4209,0.3357,20000,0.5104,0.068,44300,7
Millsaps College,Jackson,MS,2,0.4745,1159,11691,0.5362,0.2183,21750,0.6318,0.056,36800,7
Morgan State University,Baltimore,MD,1,0.5757,893,5394,0.8105,0.6152,22907,0.3375,0.23,33500,6
Dallas Christian College,Dallas,TX,2,0.5516,930,11221,0.7239,0.4693,14250,0.3023,0.129,38200,2
University of South Carolina-Upstate,Spartanburg,SC,1,0.6422,982,5701,0.6512,0.4555,15750,0.405,0.089,35100,4
Bluefield State College,Bluefield,WV,1,0.4267,905,2262,0.6041,0.5948,13000,0.2365,0.268,29700,3
American University,Washington,DC,2,0.4312,1258,30523,0.4603,0.1565,19500,0.7989,0.033,51500,10
Florida College,Temple Terrace,FL,2,0.5875,1060,14628,0.6441,0.3729,10750,0.4978,0.072,32500,4
William Peace University,Raleigh,NC,2,0.9086,910,11537,0.8851,0.7155,14000,0.3978,0.092,30500,4
Towson University,Towson,MD,1,0.6034,1078,6494,0.5047,0.2498,15750,0.655,0.052,45300,10
Clemson University,Clemson,SC,1,0.5787,1259,14345,0.4174,0.1782,20008,0.8253,0.04,45600,11
Houston Baptist University,Houston,TX,2,0.7318,1075,13381,0.5765,0.4868,12500,0.4388,0.09,41200,3
Notre Dame of Maryland University,Baltimore,MD,2,0.4964,1036,16526,0.5355,0.3024,21732.5,0.5283,0.052,46200,6
Mid-Atlantic Christian University,Elizabeth City,NC,2,0.4107,853,6808,0.8733,0.7,12000,0.5862,0.191,27900,2
Texas Woman's University,Denton,TX,1,0.8603,953,5374,0.6135,0.4923,14385,0.4146,0.061,44200,6
