ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
0.6809,1105,13044,0.6587,0.2281,25249,0.6643,0.033,38800,7
0.7018,1105,15633,0.8048,0.2774,20750,0.6501,0.077,41000,7
0.8802,1105,11958,0.7337,0.2972,22500,0.6494,0.035,40500,7
0.4365,1145,19336,0.3302,0.1847,21500,0.4939,0.085,45300,8
0.5987,1163,21544,0.5915,0.3448,20500,0.7047,0.06,46400,8
0.5639,1143,15567,0.6172,0.2366,22500,0.736,0.053,43800,8
0.7765,1077,15149,0.6875,0.2519,24124,0.6262,0.046,39700,8
0.5806,1107,15070,0.6536,0.3501,20500,0.5942,0.056,40100,8
0.7998,1144,16087,0.68,0.2426,24500,0.7101,0.02,39800,8
0.658,1089,14535,0.7483,0.2678,27000,0.6493,0.041,38600,8
0.6557,1106,15625,0.7432,0.3852,18250,0.6637,0.04,45700,8
0.6785,1153,17109,0.7284,0.24,25000,0.7175,0.027,68300,8
0.7167,1070,14365,0.7082,0.3574,22000,0.5556,0.039,46400,8
0.6903,1088,12625,0.7572,0.2441,24225,0.609,0.054,38600,8
0.7265,1085,13630,0.689,0.3057,19310.5,0.6838,0.047,47700,8
0.7217,1198,16225,0.3936,0.1937,19500,0.7705,0.059,45000,9
0.5297,1181,18266,0.6791,0.1188,23250,0.7674,0.02,46800,9
0.876,1214,16421,0.4475,0.1849,20500,0.7415,0.034,34000,9
0.6694,1163,18539,0.6731,0.2681,23677,0.7563,0.029,46000,9
0.6595,1240,18444,0.5311,0.1715,21500,0.727,0.029,57200,9
0.6443,1237,19299,0.348,0.1415,20500,0.6974,0.047,49100,9
0.7253,1204,16577,0.5704,0.204,25000,0.7814,0.035,37500,9
0.3326,1352,20769,0.3665,0.157,21000,0.8997,0.021,61500,10
0.223,1450,21742,0.4142,0.1178,20300,0.9486,0.008,70700,10
0.1532,1458,28590,0.3456,0.1416,18234,0.9419,0.013,73300,10
0.4188,1377,23269,0.4815,0.2004,22500,0.8012,0.013,70800,10
0.5622,1310,22285,0.5776,0.1839,26000,0.7284,0.024,67100,10
0.3041,1354,27465,0.3717,0.1072,23250,0.8857,0.02,31700,10
